athleteName;swissAthleticsDBId
Jan Hausheer;CONTACT.WEB.153132
Hannes Otth;CONTACT.WEB.153137
Nils Michel;a21aa-51wqrh-jg9njzak-1-jgt06qub-4s35
Dario Lauener;a21aa-ykp7tt-jugbdsd0-1-jvjjsht9-6o31
Matteo Brandt;a21aa-ykp7tt-jugbdsd0-1-jvjjojc6-6o1w
Jan Richert;a21aa-ykp7tt-jugbdsd0-1-jvjk2m1v-6o50
Morris Mathys;a21aa-ykp7tt-jugbdsd0-1-jvjjutln-6o35
Nik Steuri;a21aa-ykp7tt-jugbdsd0-1-jvjkalvr-6o6s
Silvan Schlatter;CONTACT.WEB.157490
Dominic Hurni;CONTACT.WEB.157486
Andreas Ruchti;a21aa-ykp7tt-jugbdsd0-1-jvjk5crv-6o5w
Jari Abegglen;CONTACT.WEB.157497
Tim Egger;CONTACT.WEB.158746
Anthony Porqueddu;CONTACT.WEB.157489
Matti Vögeli;a21aa-ykp7tt-jugbdsd0-1-jvjkcvkx-6o74
Ned O'Brien;a21aa-ykp7tt-jugbdsd0-1-jvjjx7m4-6o39
Gregor Otth;a21aa-ykp7tt-jugbdsd0-1-jvjjzoqr-6o3z
TV Unterseen U14 1;akb20-7la2me-f2j0m1la-1-f2rxxv1h-63j
